number,label,ifEmail,BasedRank,url
10001,False,False,False,http://mvoc6573930647569894.altervista.org/
10002,False,False,False,http://buffetmomenttos.com.br/wps/036dbb9b89a5b9592a5234a70d56bc08/
10003,False,False,False,http://www.irs.gov.rccesa.com/fraud.applications/application/statement.php?email=munozpowckrjdeq@ckrj.net&tid=munozpowckrjdeq-00000824755915US
10004,True,False,False,http://www.tilitnyc.com/pages/returns-repairs-refunds-and-exchanges
10005,True,True,False,https://www.carbonblack.com/2016/08/12/benvlog-3-negative-forces-driving-security/)
10006,False,False,False,http://www.fundacioncharlot.com/festicine/wp-content/uploads/2011/.paypal.com/www.paypal.com/PayPal/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e597c6f628423c2be3878512348e54da6697c6f628423c2be387851234
10007,True,True,True,https://www.paginasamarillas.com.co/empresas/promotora-b-y-b-s-a-s/bogota-33402081
10008,True,True,True,https://www.onestore.co.kr/userpoc/game/view?pid=0000713972
10009,False,False,False,http://chat.lovebox.cc/.www.poste.it/index.html
10010,False,True,False,http://gomezsimonebk.com/Upgrade/bookmark/alibaba/alibaba/index.php?trace=
10011,False,True,False,http://mychaseaccountalert.hpage.co.in/welcome_home_12415495.html
10012,False,True,False,http://www.desistores.net/catalog/images/5/wellsfargo-online.php
10013,False,False,False,http://iitmaana-sfbay.org/modules/mod_poll/tmpl/caixa2/
10014,False,False,False,http://www.americanexpress.com.dllst.ec/myca/form/serverstack/action?request_type=082797826028005639505947972890258834147972338918690911131500378840
10015,True,True,True,https://www.bancaintesa.rs/krediti/kredit-za-refinansiranje-/kredit-za-refinansiranje-/kredit-za-refinansiranje-u-dinarima.2306.html
10016,False,True,False,http://www.visualmente.cl/plugins/editors/tinymce/jscripts/tiny_mce/plugins/insertdatetime/images/pulign/629ff93e03a6af665497558a5913ea0c/Processing.php?cmd=_Processing
10017,True,False,False,https://www.cifor.org/press-releases/worlds-leading-forestry-and-agroforestry-organizations-merge-for-accelerated-impact-against-climate-change/?utm_source=general+contacts&utm_campaign=27d604b319-cifor_news_update_january%2b2019_copy_01&utm_medium=email&utm_term=0_282b77c295-27d604b319-118016111
10018,True,True,False,https://www.brianmadden.com/opinion/hey-vmware-please-launch-a-dedicated-euc-conference
10019,True,False,False,https://www.newyorknewyork.com/en/amenities/concierge.html
10020,False,False,False,http://www.fotoboat.in/wp-includes/Text/bb/login/
10021,True,True,False,http://ninkiranking.biz/?c=foods&ps=h294488x
10022,True,True,True,https://themewagon.com/themes/bootstrap-4-premium-interior-design-template-freya/?ref=single_theme_sidebar
10023,False,False,False,http://miroealex.com.br/sparkade/index.html
10024,False,False,False,http://signin.ebay.com-ws-ebayisapi.dll-3fmyebay.favoritenav.dependableautoshippers.info/SignIn
10025,True,True,True,http://fss.ru/region/ro18
10026,True,True,True,http://www.skybet.com/go/event/21281996?aff=681&dcmp=sl_hr_betlink_jamie_maynard
10027,True,True,True,https://mixpanel.com/customers/grabr-marketplace-analytics/
10028,True,False,False,https://www.trondelagfylke.no/nyhetsarkiv/far-elevbevis-pa-mobilen/
10029,False,False,False,http://premia-24.pl/plugins/user/Z217N7BA
10030,False,False,False,http://baxi.gpsz-ws.hu/3240494192/241250503/
10031,True,True,False,http://www.librosperuanos.com/libros/tema/publicidad/00000000033/00000000036/li
10032,False,False,False,http://pplsupportteam.com.ojasbitdurg.in/MPP/customer_center/customer-IDPP00C733/myaccount/signin/
10033,False,True,False,http://taigameiwin.com/pp/daryl@thecattleshop.com.au/au/webapps/mpp/home
10034,True,True,False,https://myfuture.edu.au/career-insight/how-your-inner-self-can-shape-your-career
10035,True,True,True,https://www.shsu.edu/academics/music/ponchielli/the-music/dance-music/waltzes/
10036,True,True,False,https://www.buglife.org.uk/cart
10037,False,False,False,http://ssl2.www.vonage.com.login.hskkzkhjs89aksjagjs78ksbkaklos9isnbas.vll2.com/
10038,False,False,False,http://peterkinhosting.net/~rpopbook/logs/Login1/Cgi.web.PayPall.fr/cmd=_login-submit&dispatch=5885d80a13c0db1fb694798.htm
10039,False,False,False,http://www.clicknamidia.com/wp-includes/css/stkbbet.html
10040,True,True,False,https://www.kmt-ti.or.jp/archives/5483/%e5%b9%b3%e6%88%9029%e5%b9%b4%e5%ba%a6%e4%ba%8b%e6%a5%ad%e8%a8%88%e7%94%bb%e5%8f%8a%e3%81%b3%e5%bd%93%e5%88%9d%e4%ba%88%e7%ae%97%ef%bc%88h29-4-1%ef%bc%89-2
10041,True,False,False,http://www.websitealive.com/
10042,False,False,False,https://ib.nab.iqravs.net/nab/cardinfo.htm
10043,True,True,True,http://podrobnosti.ua/2266367-tarify-na-gaz-v-ukraine-povysjat-dva-raza.html
10044,True,False,False,https://www.ojas-gujarat.co.in/
10045,True,True,True,https://www.scienceofpeople.com/5-body-language-tips-teachers/
10046,True,True,False,https://www.alaskasealife.org/science_spotlight/44/33
10047,False,False,False,http://modrebenok.ru/libs/elfinder/files/lol/Paypal/
10048,True,True,False,https://spamlaws.com/antivermins-malware.html
10049,False,False,False,http://promocionesrusia2018.gq
10050,True,False,False,http://saamad.ir/portal/home/?news/22657/22671/265218/%d8%aa%d9%88%d9%84%db%8c%d8%af-%d9%88-%d8%a7%d8%b4%d8%aa%d8%ba%d8%a7%d9%84-%d8%ac%d9%88%d8%a7%d9%86%d8%a7%d9%86-%d9%85%d9%87%d9%85-%d8%aa%d8%b1%db%8c%d9%86-%d8%af%d8%ba%d8%af%d8%ba%d9%87-%d8%af%d9%88%d9%84%d8%aa-%d8%a7%d8%b3%d8%aa-%d8%a7%d9%85%db%8c%d8%af%d9%88%d8%a7%d8%b1%d9%85-%d8%af%d8%b1-%d9%be%d8%a7%db%8c%d8%a7%d9%86-%d8%af%d9%88%d9%84%d8%aa-%d8%af%d9%88%d8%a7%d8%b2%d8%af%d9%87%d9%85-%d8%b4%d8%a7%d9%87%d8%af-%d9%be%d8%a7%db%8c%d8%a7%d9%86-%d9%81%d9%82%d8%b1-%d9%85%d8%b7%d9%84%d9%82-%d9%88-%da%a9%d8%a7%d9%87%d8%b4-%d9%86%d8%a7%d8%a8%d8%b1%d8%a7%d8%a8%d8%b1%db%8c%e2%80%8c%d9%87%d8%a7-%d8%af%d8%b1-%d8%ac%d8%a7%d9%85%d8%b9%d9%87-%d8%a8%d8%a7%d8%b4%db%8c%d9%85
10051,True,True,False,http://www.waterrf.org/knowledge/source-water-protection-and-management/pages/topic-overview.aspx
10052,False,False,False,http://cfandfibroliving.com/wp-content/plugins/s/anmelden.php?wps=U82kul0INomGT15ezLjA&portal;=d8UbwnITg15vaM9e0lOuyr6sPofYKGkWES4
10053,True,True,True,http://www.academia.edu/36102360/toward_a_pedagogy_of_firstness
10054,True,True,False,https://www.fhi360.org/explore/content?f%5b0%5d=field_services%3a112&f%5b1%5d=type%3aresource&f%5b2%5d=field_countries%3a1584
10055,False,False,False,http://www.adultmatchfinder.com/banners/fnb.co.za/index.html
10056,False,False,False,http://razibadmintonacademy.com/newart/f67f743ee01601f76de4d92deb3e7f83
10057,False,False,False,http://naftiliaki.gr/includes/js/dtree/rtl_img/home
10058,False,True,False,http://www.kapanonline.com/wp-includes/theme-compat/NATWEST/
10059,False,False,False,http://apple-sos.ru/m.ebay.com/23835a516b1c552fe324db36365e434a/0b92ee41a8bad35369d2fdfa9c542f28/2a0eab0f688d69878b84956a952a80f8/b4df013cbcccc1f7c3c3608d2214f00e/?pagein=http://www.ebay.co.uk/itm/Vintage-Redex-Oil-Can-Dispenser-Petrol-castrol-shell-/231224530148?pt=UK_Car_Parts_Vehicles_Automobila_ET&hash=item1c3ea9b5bf
10060,False,True,True,http://ow.ly/5UHkS
10061,False,False,False,http://paypal.com-cgi-bin.webscr.securitymeasure-pass.3dsecure.cddavetiye.com/74a224d9e5457c50a5cacf9134547cee/
10062,False,True,False,http://aplicacao.seduc.pi.gov.br/CVI/cef.com.br/Caixa_economica_federal/Atualizacao_Obrigatoria_2016.php
10063,False,True,False,http://albaddadintl.com/back-06-05-2015/wr/cd/
10064,True,True,False,http://www.atomos.com/registration/
10065,False,True,True,http://security-system.usite.pro/welcome-settings.html
10066,False,True,False,http://kancelaria-sienkiewicz.pl/components/com_jce/plugin/8df278e7c6d3dfff357a1dd836a778a9
10067,False,False,False,http://bumnation.com/mailer/link.php?M=6438&N=2&L=1&F=H
10068,True,False,False,https://thenib.com/sex-work-backpage?id=anna-bongiovanni&t=author
